official_id,jurisdiction_id,party,office_type,years_in_office,vote_share,gender,age_group,jurisdiction_type,median_income_k,pct_college,competitive_dist,ideological_distance,cross_party_collab,collaborative_identity
122,25,Democrat,mayor,2,0.602,female,40_to_55,rural,14.9,0.559,0,4.4,3.4,1
123,25,Democrat,council_member,11,0.784,female,40_to_55,rural,14.9,0.559,0,5.5,2.0,1
124,25,Democrat,mayor,9,0.519,female,over_55,rural,14.9,0.559,0,5.8,2.4,0
125,25,Democrat,mayor,8,0.613,male,40_to_55,rural,14.9,0.559,0,6.2,3.7,0
126,26,Democrat,mayor,14,0.421,female,40_to_55,rural,53.3,0.48,0,5.0,3.1,0
127,26,Democrat,commissioner,1,0.6,male,over_55,rural,53.3,0.48,0,5.1,2.9,1
128,26,Republican,council_member,11,0.481,female,40_to_55,rural,53.3,0.48,0,5.9,2.0,0
129,26,Independent,council_member,6,0.793,female,over_55,rural,53.3,0.48,0,3.6,4.1,1
130,26,Independent,council_member,16,0.537,male,40_to_55,rural,53.3,0.48,0,4.8,3.1,0
131,27,Democrat,mayor,12,0.621,male,40_to_55,urban,56.5,0.371,0,4.8,2.5,1
132,27,Republican,council_member,3,0.754,female,over_55,urban,56.5,0.371,0,5.7,3.1,1
133,27,Democrat,council_member,10,0.625,male,under_40,urban,56.5,0.371,0,3.2,2.9,0
134,27,Democrat,council_member,2,0.455,male,40_to_55,urban,56.5,0.371,0,1.9,3.2,0
135,27,Democrat,council_member,15,0.436,female,over_55,urban,56.5,0.371,0,3.7,3.1,0
136,28,Independent,council_member,3,0.684,male,40_to_55,rural,55.2,0.565,0,3.7,3.8,1
137,28,Republican,council_member,13,0.84,female,over_55,rural,55.2,0.565,0,5.7,2.3,0
138,28,Democrat,mayor,3,0.628,male,40_to_55,rural,55.2,0.565,0,3.8,3.8,0
139,28,Democrat,council_member,3,0.673,female,40_to_55,rural,55.2,0.565,0,5.3,3.8,1
140,28,Democrat,commissioner,5,0.529,male,40_to_55,rural,55.2,0.565,0,4.2,2.3,0
141,29,Democrat,commissioner,3,0.562,nonbinary,over_55,suburban,79.2,0.563,0,2.8,2.8,0
142,29,Republican,council_member,12,0.479,male,40_to_55,suburban,79.2,0.563,0,5.0,1.8,1
143,29,Republican,commissioner,4,0.658,female,under_40,suburban,79.2,0.563,0,5.5,2.7,1
144,29,Democrat,council_member,9,0.478,female,40_to_55,suburban,79.2,0.563,0,4.0,2.5,0
145,29,Democrat,council_member,11,0.808,male,over_55,suburban,79.2,0.563,0,4.7,2.9,0
146,30,Republican,council_member,1,0.649,male,40_to_55,suburban,97.8,0.448,0,4.0,3.5,0
147,30,Republican,council_member,3,0.737,female,40_to_55,suburban,97.8,0.448,0,4.2,2.9,1
148,30,Independent,council_member,13,0.48,female,40_to_55,suburban,97.8,0.448,0,5.3,3.5,1
149,30,Democrat,mayor,10,0.855,male,40_to_55,suburban,97.8,0.448,0,6.1,2.5,0
150,30,Democrat,council_member,15,0.649,female,under_40,suburban,97.8,0.448,0,2.9,3.3,0
151,31,Democrat,council_member,2,0.549,male,over_55,rural,31.7,0.413,0,4.3,2.5,1
152,31,Democrat,council_member,13,0.588,male,40_to_55,rural,31.7,0.413,0,5.0,2.9,1
153,31,Republican,council_member,9,0.8,male,over_55,rural,31.7,0.413,0,5.9,2.9,0
154,31,Democrat,mayor,13,0.65,female,under_40,rural,31.7,0.413,0,6.7,2.3,1
155,31,Republican,council_member,11,0.848,female,40_to_55,rural,31.7,0.413,0,4.6,1.9,0
156,32,Republican,council_member,16,0.795,female,over_55,suburban,54.3,0.189,1,4.3,3.7,0
157,32,Republican,council_member,1,0.695,female,over_55,suburban,54.3,0.189,1,5.3,3.1,1
158,32,Republican,council_member,13,0.488,male,under_40,suburban,54.3,0.189,1,5.0,3.2,1
159,32,Democrat,council_member,7,0.609,male,over_55,suburban,54.3,0.189,1,4.6,2.5,1
160,32,Democrat,council_member,13,0.564,female,over_55,suburban,54.3,0.189,1,4.1,2.7,0
161,33,Republican,council_member,9,0.701,female,40_to_55,rural,69.6,0.205,1,4.5,2.9,1
162,33,Democrat,council_member,11,0.641,male,over_55,rural,69.6,0.205,1,4.2,3.0,0
163,33,Republican,commissioner,13,0.796,male,over_55,rural,69.6,0.205,1,5.1,3.4,0
164,33,Democrat,council_member,7,0.801,female,40_to_55,rural,69.6,0.205,1,3.5,3.1,0
165,33,Democrat,mayor,8,0.713,female,40_to_55,rural,69.6,0.205,1,4.1,2.9,0
166,34,Independent,council_member,16,0.64,female,over_55,rural,48.6,0.218,0,4.6,3.2,0
167,34,Democrat,council_member,2,0.84,female,over_55,rural,48.6,0.218,0,5.4,4.0,1
168,34,Independent,commissioner,10,0.823,female,40_to_55,rural,48.6,0.218,0,4.4,5,1
169,34,Independent,council_member,16,0.829,female,40_to_55,rural,48.6,0.218,0,4.4,4.7,0
170,34,Republican,mayor,11,0.784,male,over_55,rural,48.6,0.218,0,6.9,3.0,0
171,35,Republican,council_member,3,0.604,female,over_55,urban,64.0,0.236,0,2.7,2.9,1
172,35,Democrat,council_member,1,0.54,female,40_to_55,urban,64.0,0.236,0,3.7,2.5,1
173,35,Republican,commissioner,10,0.738,male,over_55,urban,64.0,0.236,0,4.4,2.9,1
174,35,Independent,council_member,16,0.768,male,over_55,urban,64.0,0.236,0,3.5,3.7,0
175,35,Republican,council_member,12,0.456,male,under_40,urban,64.0,0.236,0,4.0,2.3,0
176,36,Republican,mayor,7,0.75,male,over_55,suburban,31.4,0.297,1,4.3,2.9,1
177,36,Democrat,council_member,15,0.729,female,under_40,suburban,31.4,0.297,1,4.0,3.1,1
178,36,Republican,council_member,2,0.85,female,over_55,suburban,31.4,0.297,1,4.6,3.8,0
179,36,Republican,commissioner,14,0.592,male,40_to_55,suburban,31.4,0.297,1,5.4,2.7,0
180,36,Democrat,commissioner,4,0.502,male,40_to_55,suburban,31.4,0.297,1,4.6,3.2,1
181,37,Democrat,council_member,14,0.665,male,40_to_55,suburban,67.3,0.501,0,4.2,3.1,1
182,37,Republican,council_member,1,0.531,female,40_to_55,suburban,67.3,0.501,0,4.3,2.0,0
183,37,Democrat,mayor,15,0.528,female,over_55,suburban,67.3,0.501,0,5.5,2.9,0
184,37,Democrat,council_member,11,0.529,male,over_55,suburban,67.3,0.501,0,5.9,2.2,1
185,37,Republican,council_member,6,0.708,male,40_to_55,suburban,67.3,0.501,0,6.9,2.5,0
186,38,Democrat,mayor,13,0.505,male,40_to_55,suburban,83.8,0.618,1,2.7,3.5,1
187,38,Republican,mayor,14,0.865,male,under_40,suburban,83.8,0.618,1,4.8,3.6,0
188,38,Democrat,council_member,7,0.444,female,over_55,suburban,83.8,0.618,1,2.2,3.7,0
189,38,Republican,council_member,7,0.641,male,40_to_55,suburban,83.8,0.618,1,4.6,3.3,1
190,38,Independent,council_member,8,0.74,male,40_to_55,suburban,83.8,0.618,1,2.4,4.5,1
191,39,Republican,council_member,10,0.54,male,40_to_55,suburban,52.9,0.279,0,7,3.6,0
192,39,Democrat,council_member,8,0.761,female,40_to_55,suburban,52.9,0.279,0,4.6,1.9,1
193,39,Democrat,council_member,8,0.65,male,over_55,suburban,52.9,0.279,0,4.3,3.8,1
194,39,Democrat,council_member,6,0.484,male,40_to_55,suburban,52.9,0.279,0,4.0,4.2,0
195,39,Republican,commissioner,3,0.855,male,over_55,suburban,52.9,0.279,0,3.6,3.3,1
196,40,Republican,council_member,16,0.723,female,40_to_55,suburban,61.0,0.281,0,6.7,2.4,0
197,40,Republican,council_member,14,0.791,male,under_40,suburban,61.0,0.281,0,5.7,2.7,0
198,40,Democrat,council_member,12,0.861,male,40_to_55,suburban,61.0,0.281,0,5.4,2.5,0
199,40,Democrat,commissioner,2,0.463,female,40_to_55,suburban,61.0,0.281,0,4.2,2.9,1
200,40,Republican,council_member,4,0.832,male,40_to_55,suburban,61.0,0.281,0,5.8,3.4,0
